Name,Party,Finance,Health,Builders,committees,Legal,Unions,Manufacturing,Govt/NGO,Pvt citizens,Agriculture,Comms,Defense,Energy,General,Transport,Policy
 Bill Nelson (D) ,D,232000,248199,75600,18930,113884,1202966,25500,2000,1000,49000,168475,98500,48675,487900,176000,12174145
 Chris Coons (D) ,D,42500,30000,1000,0,19500,2500,7000,0,0,6000,27500,2000,2500,7000,3500,1000
 Claire McCaskill (D) ,D,369600,154700,100450,28299,84150,177500,34500,5000,0,42500,140250,54000,72500,103500,80499,5442998
 Jack Reed (D) ,D,11000,3000,24000,7000,3000,16750,0,0,0,0,7500,47000,5000,0,19000,500
 Sheldon Whitehouse (D) ,D,55000,65906,44750,18920,60165,69150,8000,0,0,700,94500,12500,57751,50500,23000,302100
 Maggie Hassan (D) ,D,5000,19500,24236,0,1250,8000,2500,0,0,4500,18250,4000,500,2556,7500,2093
 Michael F Bennet (D) ,D,8500,29500,12500,1500,8500,1000,-2000,2000,0,2000,3000,6000,7500,5500,0,2750
 Maria Cantwell (D) ,D,347,2500,-1000,34250,-250,22000,0,0,0,5000,0,1000,-990,12500,1000,3256
 Mazie K Hirono (D) ,D,63800,43500,59500,8000,35800,121639,1000,0,0,22000,109000,53500,39209,68500,59700,240500
 Patrick Leahy (D) ,D,8000,4500,0,0,9500,4500,1000,0,0,8600,14500,7000,5000,5000,3000,0
 Tom Udall (D) ,D,3500,2500,5000,125,1000,3000,5000,0,0,1000,16000,0,8500,5000,10000,2500
 Richard Blumenthal (D) ,D,4500,14500,0,0,8250,7000,4000,1000,0,0,12500,4500,500,1000,1000,0
 Charles E Schumer (D) ,D,16000,11500,5000,0,0,1000,2000,1000,0,8000,-2000,0,-1000,12500,500,3000
 Robert Menendez (D) ,D,169500,180500,54600,24250,75500,80400,17000,0,0,7000,63000,22000,34895,38500,20500,337478
 Jeff Merkley (D) ,D,12000,4000,2200,1075,2500,6500,0,0,0,7500,0,0,9500,0,2500,0
 Kamala D Harris (D) ,D,3475,-6000,-5000,0,12500,3000,1666,0,0,6000,5000,0,5000,6480,1000,-7356
 Christopher S Murphy (D) ,D,279500,203750,17000,58875,42750,87000,31500,0,0,7000,58322,51000,49110,31321,44500,242030
 Chris Van Hollen (D) ,D,6010,6500,1000,0,1500,0,0,1000,0,0,-2000,1000,0,0,1000,0
 Heidi Heitkamp (D) ,D,593490,186000,99201,870786,87919,139500,200300,3500,0,212500,125250,34000,250050,150250,65500,1524905
 Tina Smith (D) ,D,95500,53500,49000,158693,44500,108000,12000,0,0,86500,31500,13500,44531,57950,14000,350800
 Dianne Feinstein (D) ,D,132900,127500,46200,4250,69250,43000,35000,0,0,110950,132250,57500,48400,97200,58000,288584
 Kirsten Gillibrand (D) ,D,130200,39250,24500,4500,34808,57000,8000,0,0,20000,32500,21500,21510,55400,8500,310705
 Sherrod Brown (D) ,D,426500,237200,87750,35070,79200,188649,53500,1000,0,40500,102613,28390,84953,159000,25250,588615
 Doug Jones (D) ,D,126000,31500,65500,648948,46500,148918,0,1000,0,36500,32500,9500,27999,21000,24500,5561661
 Cory Booker (D) ,D,40500,8500,6500,1000,5000,10500,4000,0,0,0,49500,0,6500,6250,11500,11300
 Joe Donnelly (D) ,D,500890,180500,69250,177274,103706,149250,49500,0,0,140100,96999,92000,120750,104200,67500,4468131
 Elizabeth Warren (D) ,D,0,4500,22500,8125,9000,121275,0,0,0,0,-10000,1280,6031,17500,0,451382
 Joe Manchin (D) ,D,328288,80500,70500,335637,84000,125000,254500,0,0,41642,140377,99000,525158,74000,69000,4270331
 Gary Peters (D) ,D,172700,28250,14000,1500,22000,14000,3000,0,0,10000,27500,14000,11000,18557,28499,2000
 Debbie Stabenow (D) ,D,387500,328050,82500,83159,81950,121000,613900,8000,0,318103,139200,33000,146543,186000,59940,420776
 Jon Tester (D) ,D,568910,199750,34500,97327,87862,119000,12000,0,0,68500,145750,436822,51532,111850,106500,1609652
 Patty Murray (D) ,D,58500,128150,19500,9950,12600,21510,6000,3000,0,6000,7000,0,9900,6000,10000,0
 Amy Klobuchar (D) ,D,153900,78650,70000,14000,88023,110500,21000,0,0,177000,124350,2000,55250,120000,144400,352407
 Mark Warner (D) ,D,229000,45000,10000,6000,17500,6500,12500,1000,0,30500,44500,33000,41500,18000,33000,13000
 Ed Markey (D) ,D,20000,45500,2000,0,27590,50500,7000,0,0,5000,57700,0,10000,3700,20000,2500
 Dick Durbin (D) ,D,26500,18000,18500,12250,11000,15500,9000,0,0,0,3500,21000,2750,11000,18500,1500
 Bob Casey (D) ,D,276584,416403,72750,281761,129660,150000,67500,2000,0,115750,146800,47500,76651,151346,77700,456099
 Ron Wyden (D) ,D,52000,107150,7000,0,8500,1500,7000,0,0,4000,18600,1000,16500,39500,20410,1000
 Ben Cardin (D) ,D,239000,218000,71125,8000,48468,119000,21500,8000,0,22500,50500,66950,46793,63750,56500,215050
 Tammy Duckworth (D) ,D,21000,41000,12500,-100,7750,27750,5000,0,0,18500,22000,6000,8000,12500,18500,42409
 Tom Carper (D) ,D,374350,207910,51200,5500,46950,32000,71210,9000,0,29000,67000,22000,130000,70500,84910,229900
 Catherine Cortez Masto (D) ,D,23500,22000,17321,1500,8541,4750,0,0,0,15000,29500,0,10500,11000,20000,57311
 Jeanne Shaheen (D) ,D,14500,29200,11000,2000,7000,19250,4500,0,0,5500,12750,71500,13750,6500,18000,1000
 Martin Heinrich (D) ,D,182990,212500,52000,27825,84500,101762,18000,3500,0,24000,87700,118000,152630,73700,55500,342723
 Tim Kaine (D) ,D,238300,231950,61700,16320,117950,112100,16500,6000,0,34000,129500,145188,87419,88855,71500,575265
 Tammy Baldwin (D) ,D,93900,141800,62500,29680,41900,164750,41900,2000,0,60000,74700,30500,66467,52500,57500,4799224
 Brian Schatz (D) ,D,39500,14000,4000,5000,10000,31000,0,0,0,0,45000,22500,13000,14500,46200,0
 Bernie Sanders (I) ,I,0,2500,15600,0,0,21100,0,0,0,0,1500,0,10,0,0,49512
 Angus King (I) ,I,176000,61500,31000,24674,31231,104000,9000,0,0,72500,102000,84000,70033,55000,32000,184069
 Pat Roberts (R) ,R,65000,44500,5000,-2654,7000,1000,3000,1000,0,124500,18500,0,20000,58500,7000,5861
 Johnny Isakson (R) ,R,45000,123000,6500,0,9500,6000,23000,0,0,15000,25000,10000,500,19000,17500,861
 Shelley Moore Capito (R) ,R,72500,34500,29500,0,16500,14500,21000,1000,0,7000,45500,18500,20000,19500,35000,4361
 John Kennedy (R) ,R,87200,33500,5000,16982,37594,7000,10000,1000,0,50173,14000,6500,36500,10700,38200,3861
 Lisa Murkowski (R) ,R,17000,60000,16500,0,29500,18000,12166,0,0,0,20000,18000,130450,19000,17500,7061
 Cindy Hyde-Smith (R) ,R,106089,29500,24500,7000,19558,4000,10000,0,0,140000,38200,31500,70000,718500,58000,215561
 Susan Collins (R) ,R,74500,103500,8250,2000,13000,11500,6000,1000,0,13000,15000,16000,5500,13500,45500,70991
