Cand_ID,ideology,Amt,Cand_name,party
N00000270,Energy,0, Ed Markey (D) , D 
N00000270,Energy,5000, Ed Markey (D) , D 
N00000270,Energy,2500, Ed Markey (D) , D 
N00000270,Energy,1000, Ed Markey (D) , D 
N00000270,Finance,1000, Ed Markey (D) , D 
N00000270,Finance,1000, Ed Markey (D) , D 
N00000270,Finance,5500, Ed Markey (D) , D 
N00000270,Finance,2000, Ed Markey (D) , D 
N00000270,Finance,4500, Ed Markey (D) , D 
N00000270,Finance,3000, Ed Markey (D) , D 
N00000270,Finance,3000, Ed Markey (D) , D 
N00000270,General,1000, Ed Markey (D) , D 
N00000270,Health,1000, Ed Markey (D) , D 
N00000270,Health,2500, Ed Markey (D) , D 
N00000270,Health,5000, Ed Markey (D) , D 
N00000270,Health,1000, Ed Markey (D) , D 
N00000270,Health,1000, Ed Markey (D) , D 
N00000270,Health,22500, Ed Markey (D) , D 
N00000270,Health,12500, Ed Markey (D) , D 
N00000270,Policy,2500, Ed Markey (D) , D 
N00000270,Energy,1500, Ed Markey (D) , D 
N00000270,Legal,20750, Ed Markey (D) , D 
N00000270,Legal,3500, Ed Markey (D) , D 
N00000270,Legal,3340, Ed Markey (D) , D 
N00000270,Unions,1500, Ed Markey (D) , D 
N00000270,Unions,1000, Ed Markey (D) , D 
N00000270,Unions,5000, Ed Markey (D) , D 
N00000270,Unions,13000, Ed Markey (D) , D 
N00000270,General,2700, Ed Markey (D) , D 
N00000270,Unions,5000, Ed Markey (D) , D 
N00000270,Unions,2500, Ed Markey (D) , D 
N00000270,Unions,3500, Ed Markey (D) , D 
N00000270,Unions,14500, Ed Markey (D) , D 
N00000270,Unions,2000, Ed Markey (D) , D 
N00000270,Unions,2500, Ed Markey (D) , D 
N00000270,Manufacturing,1000, Ed Markey (D) , D 
N00000270,Manufacturing,6000, Ed Markey (D) , D 
N00000270,Transport,2500, Ed Markey (D) , D 
N00000270,Transport,9500, Ed Markey (D) , D 
N00000270,Transport,2000, Ed Markey (D) , D 
N00000270,Transport,6000, Ed Markey (D) , D 
N00000362,Comms,3500, Jack Reed (D) , D 
N00000362,Comms,4000, Jack Reed (D) , D 
N00000362,Defense,17000, Jack Reed (D) , D 
N00000362,Defense,18000, Jack Reed (D) , D 
N00000362,Defense,5000, Jack Reed (D) , D 
N00000362,Defense,3500, Jack Reed (D) , D 
N00000362,Defense,3500, Jack Reed (D) , D 
