Cand_ID,ideology,Amt
N00000270,A1400,5000
N00000270,B4000,2000
N00000270,C1100,2000
N00000270,C2100,6500
N00000270,C2200,1500
N00000270,C4000,3000
N00000270,C4100,8500
N00000270,C4300,13000
N00000270,C4500,5000
N00000270,C4600,1000
N00000270,C5000,1000
N00000270,C5110,10000
N00000270,C5120,2500
N00000270,C6000,1000
N00000270,C6200,2700
N00000270,E1500,0
N00000270,E1600,5000
N00000270,E1620,2500
N00000270,E1630,1000
N00000270,F1100,1000
N00000270,F1400,1000
N00000270,F2100,5500
N00000270,F2300,2000
N00000270,F3200,4500
N00000270,F3300,3000
N00000270,F3400,3000
N00000270,G6400,1000
N00000270,H1710,1000
N00000270,H2200,2500
N00000270,H3200,5000
N00000270,H3300,1000
N00000270,H4000,1000
N00000270,H4300,22500
N00000270,H4500,12500
N00000270,J9000,2500
N00000270,JE300,1500
N00000270,K1000,20750
N00000270,K1200,3500
N00000270,K2000,3340
N00000270,L1100,1500
N00000270,L1200,1000
N00000270,L1400,5000
N00000270,L1500,13000
N00000270,LG400,2700
N00000270,LM100,5000
N00000270,LM150,2500
N00000270,LT000,3500
N00000270,LT100,14500
N00000270,LT400,2000
N00000270,LT600,2500
N00000270,M1000,1000
N00000270,M9000,6000
N00000270,T1200,2500
N00000270,T1700,9500
N00000270,T5100,2000
N00000270,T9100,6000
N00000362,C4100,3500
N00000362,C5000,4000
N00000362,D2000,17000
N00000362,D3000,18000
N00000362,D5000,5000
N00000362,D8000,3500
N00000362,D9000,3500
N00000362,E1170,1500
N00000362,E1300,2000
N00000362,E1500,1500
N00000362,F1100,2000
N00000362,F2100,3000
N00000362,F2300,1000
N00000362,F3100,2500
N00000362,F3200,2000
N00000362,F3300,-500
N00000362,F3400,1000
N00000362,H1700,2000
N00000362,H1710,1000
N00000362,J2100,500
N00000362,K1000,2000
N00000362,K1200,1000
N00000362,L1100,2500
N00000362,L1500,2000
N00000362,LB100,24000
N00000362,LT000,5000
N00000362,LT100,4750
N00000362,LT600,2500
N00000362,T1100,1000
N00000362,T1200,1000
N00000362,T1400,5000
N00000362,T1600,9000
N00000362,T1700,2000
N00000362,T3100,1000
N00000362,Z1100,1000
N00000362,z9600,6000
N00000491,A1400,3500
N00000491,A4500,2000
N00000491,A5000,5000
N00000491,A5200,2500
N00000491,B1000,1000
N00000491,B5100,7250
N00000491,C1100,1000
N00000491,C1300,1000
N00000491,C2100,2500
N00000491,C4300,2000
N00000491,C5000,1000
N00000491,C5110,3000
N00000491,C5130,2500
N00000491,C6400,2000
N00000491,D2000,2000
N00000491,D3000,8000
N00000491,D5000,6000
N00000491,E1170,2500
N00000491,E1500,1000
N00000491,E1630,2000
N00000491,F0000,3500
N00000491,F1100,10000
N00000491,F2000,4500
N00000491,F2100,8500
N00000491,F2110,1000
N00000491,F2300,3500
N00000491,F3000,3000
N00000491,F3100,10500
N00000491,F3200,6500
N00000491,F3300,18500
N00000491,F3400,3000
N00000491,F4700,1000
N00000491,F5100,1000
N00000491,G1000,1000
N00000491,G2100,2500
N00000491,G2500,1000
N00000491,G4200,2000
N00000491,G4300,2000
N00000491,G4900,3000
N00000491,G6100,2000
N00000491,H1100,2500
N00000491,H1110,3000
N00000491,H1120,2000
N00000491,H1130,16500
N00000491,H1700,9000
N00000491,H1710,5500
N00000491,H1750,1000
N00000491,H2100,6500
N00000491,H2200,5500
N00000491,H3000,1000
N00000491,H3100,10000
N00000491,H3700,16000
N00000491,H3800,6000
N00000491,H3900,5000
N00000491,H4100,2000
N00000491,H4300,1000
N00000491,H4400,10000
N00000491,H4500,1000
N00000491,J1100,49997
N00000491,J5100,3000
N00000491,J6100,2500
N00000491,J7200,3000
N00000491,J7400,2700
N00000491,J7600,2500
N00000491,J9000,5794
N00000491,JW100,1500
N00000491,K0000,2000
N00000491,K1000,8500
N00000491,K1100,1000
N00000491,K1200,1500
N00000491,L1100,1000
N00000491,L1300,1000
N00000491,L1400,1000
N00000491,L1500,2000
N00000491,LT100,6500
N00000491,M1000,1000
N00000491,M1300,1000
N00000491,M2300,2000
N00000491,M3300,1000
N00000491,M4200,1000
N00000491,T1100,1000
N00000491,T1400,6500
N00000491,T1600,12500
N00000491,T1700,2500
N00000491,T2100,1000
N00000491,T3100,8500
N00000491,T3200,4500
N00000491,T4100,3500
N00000491,T7000,500
N00000491,T7100,2500
N00000491,T9000,2500
N00000491,X4100,1000
N00000491,Z9600,2000
N00000528,J1100,6214
N00000528,J1200,5298
N00000528,J2100,35000
N00000528,J7150,3000
N00000528,JE300,10
N00000528,L1300,13000
N00000528,L1500,1800
N00000528,LB100,15600
N00000528,LC100,1500
N00000528,LH100,2500
N00000528,LM100,2000
N00000528,LT300,800
N00000528,LT600,3500
N00000699,A1300,2000
N00000699,A1400,5000
N00000699,B2000,4000
N00000699,B3000,1000
N00000699,B4000,9900
N00000699,B5100,1000
N00000699,C2100,6500
N00000699,C4000,2000
N00000699,C4100,12500
N00000699,C4200,5000
N00000699,C4300,1000
N00000699,C4500,14500
N00000699,C5000,1000
N00000699,C5110,2500
N00000699,C5120,3500
N00000699,C5130,2500
N00000699,C5200,3500
N00000699,C6200,1000
N00000699,D2000,13000
N00000699,D3000,9000
N00000699,E1100,2700
N00000699,E1120,2500
N00000699,E1140,1500
N00000699,E1320,6000
N00000699,E1600,3500
N00000699,E1620,2643
N00000699,E1630,7500
N00000699,E4100,7000
N00000699,E4200,1500
N00000699,F0000,2500
N00000699,F1100,11000
N00000699,F1300,7000
N00000699,F1400,18000
N00000699,F1410,2500
N00000699,F1420,2500
N00000699,F2000,2500
N00000699,F2100,8000
N00000699,F2200,4500
N00000699,F2300,14000
N00000699,F2500,6000
N00000699,F3100,4500
N00000699,F3200,10000
N00000699,F3300,31000
N00000699,F4100,20000
N00000699,F4200,4000
N00000699,F4600,10000
N00000699,F4700,5000
N00000699,F5100,3000
N00000699,F5300,3500
N00000699,G2100,1000
N00000699,G2500,3000
N00000699,G2820,4500
N00000699,G2850,5000
N00000699,G4100,1000
N00000699,G4900,2000
N00000699,G6400,3500
N00000699,G6500,11000
N00000699,H1120,10000
N00000699,H1400,5000
N00000699,H2100,31000
N00000699,H2200,8500
N00000699,H3100,0
N00000699,H3200,1000
N00000699,H3700,5000
N00000699,H4000,7500
N00000699,H4100,2000
N00000699,H4300,83500
N00000699,H4400,7500
N00000699,H4500,19500
N00000699,J2100,246165
N00000699,J2300,2500
N00000699,J2400,5000
N00000699,J5100,65013
N00000699,J5200,5000
N00000699,J7000,2300
N00000699,J7150,2500
N00000699,J7200,1000
N00000699,J7500,5000
N00000699,J7600,3000
N00000699,JE300,52
N00000699,K1000,43000
N00000699,K1100,10000
N00000699,K1200,18500
N00000699,K2000,4000
N00000699,L0000,3000
N00000699,L1100,2500
N00000699,L1200,10000
N00000699,L1300,10000
N00000699,L1400,15400
N00000699,L1500,3000
N00000699,LB100,38700
N00000699,LC100,2500
N00000699,LC150,5000
N00000699,LG100,0
N00000699,LG200,5000
N00000699,LG300,2500
N00000699,LM100,15500
N00000699,LT000,500
N00000699,LT100,5500
N00000699,LT300,5000
N00000699,LT400,2500
N00000699,LT500,5000
N00000699,LT600,2500
N00000699,M1000,8500
N00000699,M2200,1000
N00000699,M2300,7500
N00000699,T1100,3000
N00000699,T5100,10000
N00000699,T7100,3500
N00000699,T8300,4000
N00000699,Z1200,24250
N00001093,A5000,8000
N00001093,B5100,-5000
N00001093,C2100,1000
N00001093,C5000,-5000
N00001093,C6300,2000
N00001093,E5000,-1000
N00001093,F1100,5500
N00001093,F1300,2500
N00001093,F2000,2500
N00001093,F2200,2000
N00001093,F2400,2000
N00001093,F3100,4000
N00001093,F3200,2500
N00001093,F3300,2500
N00001093,F3400,-5000
N00001093,F5200,-2500
N00001093,G2300,2500
N00001093,G2810,5000
N00001093,G2900,7500
N00001093,G4900,-2500
N00001093,H1710,2500
N00001093,H4300,4000
N00001093,H4400,5000
N00001093,J7500,3000
N00001093,K1200,0
N00001093,LB100,10000
N00001093,LT600,1000
N00001093,M2200,2000
N00001093,T2100,1000
N00001093,T7100,-500
N00001093,X4000,1000
N00001489,A1400,5000
N00001489,A4500,4000
N00001489,B1000,5000
N00001489,B3000,2500
N00001489,B3200,1000
N00001489,B4000,9000
N00001489,B5100,1000
N00001489,C1100,1000
N00001489,C4100,2000
N00001489,C5000,2500
N00001489,C5120,2500
N00001489,C5130,2500
N00001489,C5400,7000
N00001489,C6400,3000
N00001489,C6500,2500
N00001489,D2000,2000
N00001489,D3000,5500
N00001489,D4000,1000
N00001489,D6000,1000
N00001489,E1000,2500
N00001489,E1120,7500
N00001489,E1140,7500
N00001489,E1160,5000
N00001489,E1600,12000
N00001489,E1620,5000
N00001489,E1630,3000
N00001489,E5000,2000
N00001489,F0000,1500
N00001489,F1000,1500
N00001489,F1100,58000
N00001489,F1200,1000
N00001489,F1300,1000
N00001489,F1400,3000
N00001489,F1410,1000
N00001489,F1420,6000
N00001489,F2000,2500
N00001489,F2100,27000
N00001489,F2110,5000
N00001489,F2200,2500
N00001489,F2300,4500
N00001489,F2400,3500
N00001489,F2500,2500
N00001489,F2700,1000
N00001489,F3000,6500
N00001489,F3100,36000
N00001489,F3200,9500
N00001489,F3300,31500
N00001489,F3400,14500
N00001489,F4300,7000
N00001489,F4600,10000
N00001489,F4700,1000
N00001489,F5000,1500
N00001489,F5100,4000
N00001489,F5200,2000
N00001489,F5300,2000
N00001489,F5500,1500
N00001489,F7000,3500
N00001489,G0000,2000
N00001489,G1000,3500
N00001489,G2100,2000
N00001489,G2200,3500
N00001489,G2400,6500
N00001489,G2500,1000
N00001489,G2900,6000
N00001489,G3000,500
N00001489,G4500,1000
N00001489,G4900,4000
