Cycle,FEC_ID,Cand_ID,Name,Party,District,Dist_curr,Curr_Cand,Cycle_cand,CRPICO,Receip_cd,No_pacs
2018, H6FL08221 , N00028542 , D J Mauro (I) , I , FL08 ,      ,   ,   ,   , 3N ,   
2018, H6NC09200 , N00035491 , Mark Harris (R) , R , NC09 ,      ,   ,   , O , RW ,   
2018, H4NE01163 , N00035619 , Dennis Crawford (D) , D , NE01 ,      ,   , Y , C , DL ,   
2018, H0IN01127 , N00041294 , Arturas Kerelis (D) , D , IN01 ,      ,   ,   ,   , DN ,   
2018, H8AL02171 , N00041295 , Barry Moore (R) , R , AL02 ,      ,   , Y , C , RL ,   
2018, H8AL04078 , N00041296 , Mike Moses (R) , R , AL04 ,      ,   , Y , C , RN ,   
2018, H8AL04086 , N00041297 , Rick Neighbors (D) , D , AL04 ,      ,   , Y , C , DL ,   
2018, H8AL05208 , N00041298 , Clayton Hinchman (R) , R , AL05 ,      ,   , Y , C , RL ,   
2018, H8AR02134 , N00041299 , Paul Spencer (D) , D , AR02 ,      ,   , Y , C , DL ,   
2018, H8AR03074 , N00041300 , Josh Mahony (D) , D , AR03 ,      , Y , Y , C , DL ,   
2018, H8AZ08075 , N00041301 , Augie Beyer (I) , I , AZ08 ,      ,   , Y , O , 3L ,   
2018, H8AZ08083 , N00041302 , Hiral Tipirneni (D) , D , AZ08 ,      , Y , Y , C , DL ,   
2018, H8CA07056 , N00041303 , Andrew Grant (R) , R , CA07 ,      , Y , Y , C , RL ,   
2018, H8CA10159 , N00041304 , Seth Vaughn (D) , D , CA10 ,      ,   , Y , C , DN ,   
2018, H8CA10167 , N00028122 , TJ Cox (D) , D , CA21 ,      ,   ,   , C , DL ,   
2018, H8CA22147 , N00041306 , Ricardo Franco (D) , D , CA22 ,      ,   , Y , C , DL ,   
2018, H8CA22154 , N00041307 , Bobby Bliatout (D) , D , CA22 ,      ,   , Y , C , DL ,   
2018, H8CA27104 , N00041308 , Brian Espinoza (L) , L , CA27 ,      ,   , Y , C , 3N ,   
2018, H8CA29100 , N00041309 , Angelica Duenas (3) , 3 , CA29 ,      ,   , Y , C , 3L ,   
2018, H8CA30066 , N00041310 , Jon Pelzer (D) , D , CA30 ,      ,   , Y , C , DL ,   
2018, H8CA43127 , N00041311 , Candance Camper (R) , R , CA43 ,      ,   , Y , C , RN ,   
2018, H8CA48084 , N00041312 , Omar Siddiqui (D) , D , CA48 ,      ,   , Y , C , DL ,   
2018, H8CA49066 , N00041313 , Paul Kerr (D) , D , CA49 ,      ,   , Y , O , DL ,   
2018, H8CA50122 , N00041314 , Andrew Zelt (R) , R , CA50 ,      ,   , Y , C , RN ,   
2018, H8CA50130 , N00041315 , Daniel Casara (R) , R , CA52 ,      ,   , Y , C , RL ,   
2018, H8CO02186 , N00041316 , Nick Thomas (I) , I , CO02 ,      , Y , Y , O , 3L ,   
2018, H8CO03192 , N00041317 , Diane Mitsch Bush (D) , D , CO03 ,      , Y , Y , C , DL ,   
2018, H8CO05130 , N00041318 , Stephany Rose Spaulding (D) , D , CO05 ,      , Y , Y , C , DL ,   
2018, H8CO06245 , N00041319 , Levi Tillemann (D) , D , CO06 ,      ,   , Y , C , DL ,   
2018, H8CT02093 , N00041320 , Clay Slawson (R) , R , CT02 ,      ,   , Y , C , RN ,   
2018, H8DC07015 , N00041321 , Carolyn Bourdeaux (D) , D , DC00 ,      ,   , Y , C , DN ,   
2018, H8DE01036 , N00041322 , Christopher Mockerman (I) , I , DE01 ,      ,   , Y , C , 3N ,   
2018, H8FL01107 , N00041323 , Phil Ehr (D) , D , FL01 ,      ,   , Y , C , DL ,   
2018, H8FL02097 , N00041324 , Bob Rackleff (D) , D , FL02 ,      , Y , Y , C , DL ,   
2018, H8FL05124 , N00041325 , Pam Love (R) , R , FL05 ,      ,   , Y , C , RN ,   
2018, H8FL07062 , N00041326 , Mike Miller (R) , R , FL07 ,      , Y , Y , C , RL ,   
2018, H8FL18010 , N00036907 , Pam Keith (D) , D , FL18 ,      ,   , Y , C , DL ,   
2018, H8FL19067 , N00041328 , David Holden (D) , D , FL19 ,      , Y , Y , C , DL ,   
2018, H8FL26021 , N00041329 , Steven Machat (D) , D , FL26 ,      ,   , Y , C , DN ,   
2018, H8FL27052 , N00041330 , Jose Javier Rodriguez (D) , D , FL27 ,      ,   , Y , O , DN ,   
2018, H8GA01063 , N00041331 , Lisa Ring (D) , D , GA01 ,      , Y , Y , C , DL ,   
2018, H8GA10148 , N00041332 , Chalis Montgomery (D) , D , GA10 ,      ,   , Y , C , DL ,   
2018, H8IA01128 , N00041333 , Thomas Heckroth (D) , D , IA01 ,      ,   , Y , C , DL ,   
2018, H8IA03157 , N00041334 , Theresa Greenfield (D) , D , IA03 ,      ,   , Y , C , DN ,   
2018, H8ID01124 , N00041335 , Russ Fulcher (R) , R , ID01 ,      , Y , Y , O , RW ,   
2018, H8ID01132 , N00041336 , Michael Snyder (R) , R , ID01 ,      ,   , Y , O , RL ,   
2018, H8IL03110 , N00041337 , Mateusz Tomkowiak (I) , I , IL03 ,      ,   , Y , C , 3N ,   
2018, H8IL06139 , N00041338 , Sean Casten (D) , D , IL06 ,      , Y , Y , C , DW ,   
2018, H8IL06147 , N00041339 , Carole Cheney (D) , D , IL06 ,      ,   , Y , C , DL ,   
2018, H8IL12111 , N00041340 , Pat McMahan (D) , D , IL12 ,      ,   , Y , C , DN ,   
2018, H8IL12129 , N00041341 , Brendan Kelly (D) , D , IL12 ,      , Y , Y , C , DL ,   
2018, H8IL13150 , N00041342 , Betsy Dirksen Londrigan (D) , D , IL13 ,      , Y , Y , C , DL ,   
2018, H8IL14158 , N00041343 , George Weber (D) , D , IL14 ,      ,   , Y , C , DL ,   
2018, H8IL14166 , N00041344 , Matt Brolley (D) , D , IL14 ,      ,   , Y , C , DL ,   
2018, H8IL15064 , N00041345 , Anthony March (D) , D , IL15 ,      ,   , Y , C , DN ,   
2018, H8IL17045 , N00041346 , Craig Cameron (R) , R , IL07 ,      , Y , Y , C , RL ,   
2018, H8IN09081 , N00041347 , Dan Canon (D) , D , IN09 ,      ,   , Y , C , DL ,   
2018, H8IN09099 , N00041348 , Tod Curtis (D) , D , IN09 ,      ,   , Y , C , DN ,   
2018, H8KS03114 , N00041349 , Tom Niermann (D) , D , KS03 ,      ,   , Y , C , DL ,   
2018, H8KY01066 , N00041350 , Samuel Gaskins (D) , D , KY01 ,      ,   , Y , C , DN ,   
2018, H8KY06156 , N00041351 , Reggie Thomas (D) , D , KY06 ,      ,   , Y , C , DL ,   
2018, H8MA02082 , N00041352 , Jeffrey Sossa-Paquette (R) , R , MA02 ,      ,   , Y , C , RN ,   
2018, H8MA07024 , N00041353 , Nadeem Mazen (D) , D , MA07 ,      ,   , Y , C , DN ,   
2018, H8MA08188 , N00041354 , Christopher Voehl (D) , D , MA08 ,      ,   , Y , C , DL ,   
2018, H8ME02144 , N00041355 , Tim Rich (D) , D , ME02 ,      ,   , Y , C , DN ,   
2018, H8MI06148 , N00041356 , Rich Eichholz (D) , D , MI06 ,      ,   , Y , C , DL ,   
2018, H8MI08102 , N00041357 , Elissa Slotkin (D) , D , MI08 ,      , Y , Y , C , DW ,   
2018, H8MN01279 , N00041358 , Daniel Feehan (D) , D , MN01 ,      , Y , Y , O , DL ,   
2018, H8MN01287 , N00041359 , John Wayne Austinson (D) , D , MN01 ,      ,   , Y , O , DN ,   
2018, H8MN07094 , N00041360 , Matt Prosch (R) , R , MN07 ,      ,   , Y , C , RL ,   
2018, H8MO02190 , N00041361 , Kelli Dunaway (D) , D , MO02 ,      ,   , Y , C , DN ,   
2018, H8MS01152 , N00041362 , Carlton Smith (D) , D , MS01 ,      ,   , Y , C , DN ,   
2018, H8NC02086 , N00041363 , Sam Searcy (D) , D , NC02 ,      ,   , Y , C , DN ,   
2018, H8NC03076 , N00041364 , Scott Dacey (R) , R , NC03 ,      ,   , Y , C , RL ,   
2018, H8NC05071 , N00041365 , Cortland Meader (R) , R , NC05 ,      ,   , Y , C , RL ,   
2018, H8NC06079 , N00041366 , Ryan Watts (D) , D , NC06 ,      , Y , Y , C , DL ,   
2018, H8NC09131 , N00035491 , Mark Harris (R) , R , NC09 ,      , Y , Y , O , RW ,   
2018, H8NC10097 , N00041368 , David Wilson Brown (D) , D , NC10 ,      , Y , Y , C , DL ,   
2018, H8NC11103 , N00041369 , Phillip Price (D) , D , NC11 ,      , Y , Y , C , DL ,   
2018, H8NJ03206 , N00041370 , Andy Kim (D) , D , NJ03 ,      , Y , Y , C , DW ,   
2018, H8NJ11167 , N00041371 , John Bartlett (D) , D , NJ11 ,      ,   , Y , O , DN ,   
2018, H8NM01380 , N00041372 , Damon Martinez (D) , D , NM01 ,      ,   , Y , O , DL ,   
