Name,ideology,Amt
 Amy Klobuchar (D) ,Agriculture,177000
 Angus King (I) ,Agriculture,72500
 Ben Cardin (D) ,Agriculture,22500
 Ben Sasse (R) ,Agriculture,6000
 Bernie Sanders (I) ,Agriculture,0
 Bill Cassidy (R) ,Agriculture,29000
 Bill Nelson (D) ,Agriculture,49000
 Bob Casey (D) ,Agriculture,115750
 Bob Corker (R) ,Agriculture,0
 Brian Schatz (D) ,Agriculture,0
 Catherine Cortez Masto (D) ,Agriculture,15000
 Charles E Schumer (D) ,Agriculture,8000
 Chris Coons (D) ,Agriculture,6000
 Chris Van Hollen (D) ,Agriculture,0
 Christopher S Murphy (D) ,Agriculture,7000
 Chuck Grassley (R) ,Agriculture,8000
 Cindy Hyde-Smith (R) ,Agriculture,140000
 Claire McCaskill (D) ,Agriculture,42500
 Cory Booker (D) ,Agriculture,0
 Cory Gardner (R) ,Agriculture,25500
 Dan Sullivan (R) ,Agriculture,1000
 David Perdue (R) ,Agriculture,51000
 Dean Heller (R) ,Agriculture,49000
 Deb Fischer (R) ,Agriculture,175750
 Debbie Stabenow (D) ,Agriculture,318103
 Dianne Feinstein (D) ,Agriculture,110950
 Dick Durbin (D) ,Agriculture,0
 Doug Jones (D) ,Agriculture,36500
 Ed Markey (D) ,Agriculture,5000
 Elizabeth Warren (D) ,Agriculture,0
 Gary Peters (D) ,Agriculture,10000
 Heidi Heitkamp (D) ,Agriculture,212500
 Jack Reed (D) ,Agriculture,0
 James E Risch (R) ,Agriculture,1500
 James Lankford (R) ,Agriculture,1000
 James M Inhofe (R) ,Agriculture,11000
 Jeanne Shaheen (D) ,Agriculture,5500
 Jeff Flake (R) ,Agriculture,11000
 Jeff Merkley (D) ,Agriculture,7500
 Jerry Moran (R) ,Agriculture,19250
 Joe Donnelly (D) ,Agriculture,140100
 Joe Manchin (D) ,Agriculture,41642
 John A Barrasso (R) ,Agriculture,107500
 John Boozman (R) ,Agriculture,56250
 John Cornyn (R) ,Agriculture,25000
 John Hoeven (R) ,Agriculture,46500
 John Kennedy (R) ,Agriculture,50173
 John Thune (R) ,Agriculture,35000
 Johnny Isakson (R) ,Agriculture,15000
 Jon Tester (D) ,Agriculture,68500
 Joni Ernst (R) ,Agriculture,16000
 Kamala D Harris (D) ,Agriculture,6000
 Kirsten Gillibrand (D) ,Agriculture,20000
 Lamar Alexander (R) ,Agriculture,6500
 Lindsey Graham (R) ,Agriculture,23700
 Lisa Murkowski (R) ,Agriculture,0
 Maggie Hassan (D) ,Agriculture,4500
 Marco Rubio (R) ,Agriculture,19500
 Maria Cantwell (D) ,Agriculture,5000
 Mark Warner (D) ,Agriculture,30500
 Martin Heinrich (D) ,Agriculture,24000
 Mazie K Hirono (D) ,Agriculture,22000
 Michael F Bennet (D) ,Agriculture,2000
 Mike Crapo (R) ,Agriculture,16000
 Mike Enzi (R) ,Agriculture,3500
 Mike Lee (R) ,Agriculture,2000
 Mike Rounds (R) ,Agriculture,13500
 Mitch McConnell (R) ,Agriculture,32000
 Orrin G Hatch (R) ,Agriculture,18000
 Pat Roberts (R) ,Agriculture,124500
 Pat Toomey (R) ,Agriculture,9000
 Patrick Leahy (D) ,Agriculture,8600
 Patty Murray (D) ,Agriculture,6000
 Rand Paul (R) ,Agriculture,1000
 Richard Blumenthal (D) ,Agriculture,0
 Richard Burr (R) ,Agriculture,0
 Richard C Shelby (R) ,Agriculture,3500
 Rob Portman (R) ,Agriculture,5000
 Robert Menendez (D) ,Agriculture,7000
 Roger Wicker (R) ,Agriculture,129500
 Ron Johnson (R) ,Agriculture,17500
 Ron Wyden (D) ,Agriculture,4000
 Sheldon Whitehouse (D) ,Agriculture,700
 Shelley Moore Capito (R) ,Agriculture,7000
 Sherrod Brown (D) ,Agriculture,40500
 Steven Daines (R) ,Agriculture,22000
 Susan Collins (R) ,Agriculture,13000
 Tammy Baldwin (D) ,Agriculture,60000
 Tammy Duckworth (D) ,Agriculture,18500
 Ted Cruz (R) ,Agriculture,23327
 Thom Tillis (R) ,Agriculture,34000
 Tim Kaine (D) ,Agriculture,34000
 Tim Scott (R) ,Agriculture,15000
 Tina Smith (D) ,Agriculture,86500
 Todd Young (R) ,Agriculture,8250
 Tom Carper (D) ,Agriculture,29000
 Tom Cotton (R) ,Agriculture,4000
 Tom Udall (D) ,Agriculture,1000
 Amy Klobuchar (D) ,Builders,70000
 Angus King (I) ,Builders,31000
 Ben Cardin (D) ,Builders,71125
 Ben Sasse (R) ,Builders,3000
 Bernie Sanders (I) ,Builders,15600
 Bill Cassidy (R) ,Builders,4500
 Bill Nelson (D) ,Builders,75600
 Bob Casey (D) ,Builders,72750
 Bob Corker (R) ,Builders,8500
 Brian Schatz (D) ,Builders,4000
 Catherine Cortez Masto (D) ,Builders,17321
 Charles E Schumer (D) ,Builders,5000
 Chris Coons (D) ,Builders,1000
 Chris Van Hollen (D) ,Builders,1000
 Christopher S Murphy (D) ,Builders,17000
 Chuck Grassley (R) ,Builders,0
 Cindy Hyde-Smith (R) ,Builders,24500
 Claire McCaskill (D) ,Builders,100450
 Cory Booker (D) ,Builders,6500
 Cory Gardner (R) ,Builders,12500
 Dan Sullivan (R) ,Builders,2000
 David Perdue (R) ,Builders,7500
 Dean Heller (R) ,Builders,106000
 Deb Fischer (R) ,Builders,72200
 Debbie Stabenow (D) ,Builders,82500
 Dianne Feinstein (D) ,Builders,46200
 Dick Durbin (D) ,Builders,18500
 Doug Jones (D) ,Builders,65500
 Ed Markey (D) ,Builders,2000
 Elizabeth Warren (D) ,Builders,22500
 Gary Peters (D) ,Builders,14000
 Heidi Heitkamp (D) ,Builders,99201
 Jack Reed (D) ,Builders,24000
 James E Risch (R) ,Builders,1000
 James Lankford (R) ,Builders,500
 James M Inhofe (R) ,Builders,15000
 Jeanne Shaheen (D) ,Builders,11000
 Jeff Flake (R) ,Builders,11900
 Jeff Merkley (D) ,Builders,2200
 Jerry Moran (R) ,Builders,0
 Joe Donnelly (D) ,Builders,69250
 Joe Manchin (D) ,Builders,70500
 John A Barrasso (R) ,Builders,130000
 John Boozman (R) ,Builders,0
 John Cornyn (R) ,Builders,48000
 John Hoeven (R) ,Builders,2000
 John Kennedy (R) ,Builders,5000
 John Thune (R) ,Builders,16500
 Johnny Isakson (R) ,Builders,6500
 Jon Tester (D) ,Builders,34500
 Joni Ernst (R) ,Builders,9000
 Kamala D Harris (D) ,Builders,-5000
 Kirsten Gillibrand (D) ,Builders,24500
 Lamar Alexander (R) ,Builders,0
 Lindsey Graham (R) ,Builders,12000
 Lisa Murkowski (R) ,Builders,16500
 Maggie Hassan (D) ,Builders,24236
 Marco Rubio (R) ,Builders,12500
 Maria Cantwell (D) ,Builders,-1000
 Mark Warner (D) ,Builders,10000
 Martin Heinrich (D) ,Builders,52000
 Mazie K Hirono (D) ,Builders,59500
 Michael F Bennet (D) ,Builders,12500
 Mike Crapo (R) ,Builders,37100
 Mike Enzi (R) ,Builders,0
 Mike Lee (R) ,Builders,-5000
 Mike Rounds (R) ,Builders,0
 Mitch McConnell (R) ,Builders,23500
 Orrin G Hatch (R) ,Builders,59000
 Pat Roberts (R) ,Builders,5000
 Pat Toomey (R) ,Builders,18500
 Patrick Leahy (D) ,Builders,0
 Patty Murray (D) ,Builders,19500
 Rand Paul (R) ,Builders,2500
 Richard Blumenthal (D) ,Builders,0
 Richard Burr (R) ,Builders,0
 Richard C Shelby (R) ,Builders,0
 Rob Portman (R) ,Builders,34000
 Robert Menendez (D) ,Builders,54600
 Roger Wicker (R) ,Builders,65750
 Ron Johnson (R) ,Builders,-500
 Ron Wyden (D) ,Builders,7000
 Sheldon Whitehouse (D) ,Builders,44750
 Shelley Moore Capito (R) ,Builders,29500
 Sherrod Brown (D) ,Builders,87750
 Steven Daines (R) ,Builders,17500
 Susan Collins (R) ,Builders,8250
 Tammy Baldwin (D) ,Builders,62500
 Tammy Duckworth (D) ,Builders,12500
 Ted Cruz (R) ,Builders,30500
 Thom Tillis (R) ,Builders,9750
 Tim Kaine (D) ,Builders,61700
 Tim Scott (R) ,Builders,19000
 Tina Smith (D) ,Builders,49000
 Todd Young (R) ,Builders,3500
 Tom Carper (D) ,Builders,51200
 Tom Cotton (R) ,Builders,1000
 Tom Udall (D) ,Builders,5000
 Amy Klobuchar (D) ,Comms,124350
 Angus King (I) ,Comms,102000
 Ben Cardin (D) ,Comms,50500
 Ben Sasse (R) ,Comms,27200
 Bernie Sanders (I) ,Comms,1500
 Bill Cassidy (R) ,Comms,23500
 Bill Nelson (D) ,Comms,168475
 Bob Casey (D) ,Comms,146800
 Bob Corker (R) ,Comms,32000
 Brian Schatz (D) ,Comms,45000
 Catherine Cortez Masto (D) ,Comms,29500
 Charles E Schumer (D) ,Comms,-2000
 Chris Coons (D) ,Comms,27500
 Chris Van Hollen (D) ,Comms,-2000
 Christopher S Murphy (D) ,Comms,58322
 Chuck Grassley (R) ,Comms,13500
 Cindy Hyde-Smith (R) ,Comms,38200
 Claire McCaskill (D) ,Comms,140250
 Cory Booker (D) ,Comms,49500
 Cory Gardner (R) ,Comms,73500
 Dan Sullivan (R) ,Comms,28000
 David Perdue (R) ,Comms,21000
 Dean Heller (R) ,Comms,186500
 Deb Fischer (R) ,Comms,130050
 Debbie Stabenow (D) ,Comms,139200
 Dianne Feinstein (D) ,Comms,132250
 Dick Durbin (D) ,Comms,3500
 Doug Jones (D) ,Comms,32500
 Ed Markey (D) ,Comms,57700
 Elizabeth Warren (D) ,Comms,-10000
 Gary Peters (D) ,Comms,27500
 Heidi Heitkamp (D) ,Comms,125250
 Jack Reed (D) ,Comms,7500
 James E Risch (R) ,Comms,11000
 James Lankford (R) ,Comms,27250
 James M Inhofe (R) ,Comms,26500
 Jeanne Shaheen (D) ,Comms,12750
 Jeff Flake (R) ,Comms,66750
 Jeff Merkley (D) ,Comms,0
 Jerry Moran (R) ,Comms,42200
 Joe Donnelly (D) ,Comms,96999
 Joe Manchin (D) ,Comms,140377
 John A Barrasso (R) ,Comms,113500
 John Boozman (R) ,Comms,18000
 John Cornyn (R) ,Comms,51000
 John Hoeven (R) ,Comms,8080
 John Kennedy (R) ,Comms,14000
 John Thune (R) ,Comms,71000
 Johnny Isakson (R) ,Comms,25000
 Jon Tester (D) ,Comms,145750
 Joni Ernst (R) ,Comms,11500
 Kamala D Harris (D) ,Comms,5000
 Kirsten Gillibrand (D) ,Comms,32500
 Lamar Alexander (R) ,Comms,8500
 Lindsey Graham (R) ,Comms,12500
 Lisa Murkowski (R) ,Comms,20000
 Maggie Hassan (D) ,Comms,18250
 Marco Rubio (R) ,Comms,18000
 Maria Cantwell (D) ,Comms,0
 Mark Warner (D) ,Comms,44500
 Martin Heinrich (D) ,Comms,87700
 Mazie K Hirono (D) ,Comms,109000
 Michael F Bennet (D) ,Comms,3000
 Mike Crapo (R) ,Comms,30900
 Mike Enzi (R) ,Comms,7000
 Mike Lee (R) ,Comms,24000
 Mike Rounds (R) ,Comms,16500
 Mitch McConnell (R) ,Comms,35000
 Orrin G Hatch (R) ,Comms,137100
 Pat Roberts (R) ,Comms,18500
 Pat Toomey (R) ,Comms,28000
 Patrick Leahy (D) ,Comms,14500
 Patty Murray (D) ,Comms,7000
 Rand Paul (R) ,Comms,13000
 Richard Blumenthal (D) ,Comms,12500
 Richard Burr (R) ,Comms,-3000
 Richard C Shelby (R) ,Comms,0
 Rob Portman (R) ,Comms,23500
 Robert Menendez (D) ,Comms,63000
 Roger Wicker (R) ,Comms,219400
 Ron Johnson (R) ,Comms,50000
 Ron Wyden (D) ,Comms,18600
 Sheldon Whitehouse (D) ,Comms,94500
 Shelley Moore Capito (R) ,Comms,45500
 Sherrod Brown (D) ,Comms,102613
 Steven Daines (R) ,Comms,33000
 Susan Collins (R) ,Comms,15000
 Tammy Baldwin (D) ,Comms,74700
 Tammy Duckworth (D) ,Comms,22000
 Ted Cruz (R) ,Comms,92000
