,Name,Party,ideology,Amt
0, Bill Nelson (D) ,D,Finance,232000
1, Chris Coons (D) ,D,Finance,42500
2, Claire McCaskill (D) ,D,Finance,369600
3, Jack Reed (D) ,D,Finance,11000
4, Sheldon Whitehouse (D) ,D,Finance,55000
5, Maggie Hassan (D) ,D,Finance,5000
6, Michael F Bennet (D) ,D,Finance,8500
7, Maria Cantwell (D) ,D,Finance,347
8, Mazie K Hirono (D) ,D,Finance,63800
9, Patrick Leahy (D) ,D,Finance,8000
10, Tom Udall (D) ,D,Finance,3500
11, Richard Blumenthal (D) ,D,Finance,4500
12, Charles E Schumer (D) ,D,Finance,16000
13, Robert Menendez (D) ,D,Finance,169500
14, Jeff Merkley (D) ,D,Finance,12000
15, Kamala D Harris (D) ,D,Finance,3475
16, Christopher S Murphy (D) ,D,Finance,279500
17, Chris Van Hollen (D) ,D,Finance,6010
18, Heidi Heitkamp (D) ,D,Finance,593490
19, Tina Smith (D) ,D,Finance,95500
20, Dianne Feinstein (D) ,D,Finance,132900
21, Kirsten Gillibrand (D) ,D,Finance,130200
22, Sherrod Brown (D) ,D,Finance,426500
23, Doug Jones (D) ,D,Finance,126000
24, Cory Booker (D) ,D,Finance,40500
25, Joe Donnelly (D) ,D,Finance,500890
26, Elizabeth Warren (D) ,D,Finance,0
27, Joe Manchin (D) ,D,Finance,328288
28, Gary Peters (D) ,D,Finance,172700
29, Debbie Stabenow (D) ,D,Finance,387500
30, Jon Tester (D) ,D,Finance,568910
31, Patty Murray (D) ,D,Finance,58500
32, Amy Klobuchar (D) ,D,Finance,153900
33, Mark Warner (D) ,D,Finance,229000
34, Ed Markey (D) ,D,Finance,20000
35, Dick Durbin (D) ,D,Finance,26500
36, Bob Casey (D) ,D,Finance,276584
37, Ron Wyden (D) ,D,Finance,52000
38, Ben Cardin (D) ,D,Finance,239000
39, Tammy Duckworth (D) ,D,Finance,21000
40, Tom Carper (D) ,D,Finance,374350
41, Catherine Cortez Masto (D) ,D,Finance,23500
42, Jeanne Shaheen (D) ,D,Finance,14500
43, Martin Heinrich (D) ,D,Finance,182990
44, Tim Kaine (D) ,D,Finance,238300
45, Tammy Baldwin (D) ,D,Finance,93900
46, Brian Schatz (D) ,D,Finance,39500
47, Bernie Sanders (I) ,I,Finance,0
48, Angus King (I) ,I,Finance,176000
49, Pat Roberts (R) ,R,Finance,65000
50, Johnny Isakson (R) ,R,Finance,45000
51, Shelley Moore Capito (R) ,R,Finance,72500
52, John Kennedy (R) ,R,Finance,87200
53, Lisa Murkowski (R) ,R,Finance,17000
54, Cindy Hyde-Smith (R) ,R,Finance,106089
