"Cand_ID";"ideology";"Amt";"Cand_name";"party"
"N00000270";"A1400";5000.0;" Ed Markey (D) ";" D "
"N00000270";"B4000";2000.0;" Ed Markey (D) ";" D "
"N00000270";"C1100";2000.0;" Ed Markey (D) ";" D "
"N00000270";"C2100";6500.0;" Ed Markey (D) ";" D "
"N00000270";"C2200";1500.0;" Ed Markey (D) ";" D "
"N00000270";"C4000";3000.0;" Ed Markey (D) ";" D "
"N00000270";"C4100";8500.0;" Ed Markey (D) ";" D "
"N00000270";"C4300";13000.0;" Ed Markey (D) ";" D "
"N00000270";"C4500";5000.0;" Ed Markey (D) ";" D "
"N00000270";"C4600";1000.0;" Ed Markey (D) ";" D "
"N00000270";"C5000";1000.0;" Ed Markey (D) ";" D "
"N00000270";"C5110";10000.0;" Ed Markey (D) ";" D "
"N00000270";"C5120";2500.0;" Ed Markey (D) ";" D "
"N00000270";"C6000";1000.0;" Ed Markey (D) ";" D "
"N00000270";"C6200";2700.0;" Ed Markey (D) ";" D "
"N00000270";"E1500";0.0;" Ed Markey (D) ";" D "
"N00000270";"E1600";5000.0;" Ed Markey (D) ";" D "
"N00000270";"E1620";2500.0;" Ed Markey (D) ";" D "
"N00000270";"E1630";1000.0;" Ed Markey (D) ";" D "
"N00000270";"F1100";1000.0;" Ed Markey (D) ";" D "
"N00000270";"F1400";1000.0;" Ed Markey (D) ";" D "
"N00000270";"F2100";5500.0;" Ed Markey (D) ";" D "
"N00000270";"F2300";2000.0;" Ed Markey (D) ";" D "
"N00000270";"F3200";4500.0;" Ed Markey (D) ";" D "
"N00000270";"F3300";3000.0;" Ed Markey (D) ";" D "
"N00000270";"F3400";3000.0;" Ed Markey (D) ";" D "
"N00000270";"G6400";1000.0;" Ed Markey (D) ";" D "
"N00000270";"H1710";1000.0;" Ed Markey (D) ";" D "
"N00000270";"H2200";2500.0;" Ed Markey (D) ";" D "
"N00000270";"H3200";5000.0;" Ed Markey (D) ";" D "
"N00000270";"H3300";1000.0;" Ed Markey (D) ";" D "
"N00000270";"H4000";1000.0;" Ed Markey (D) ";" D "
"N00000270";"H4300";22500.0;" Ed Markey (D) ";" D "
"N00000270";"H4500";12500.0;" Ed Markey (D) ";" D "
"N00000270";"J9000";2500.0;" Ed Markey (D) ";" D "
"N00000270";"JE300";1500.0;" Ed Markey (D) ";" D "
"N00000270";"K1000";20750.0;" Ed Markey (D) ";" D "
"N00000270";"K1200";3500.0;" Ed Markey (D) ";" D "
"N00000270";"K2000";3340.0;" Ed Markey (D) ";" D "
"N00000270";"L1100";1500.0;" Ed Markey (D) ";" D "
"N00000270";"L1200";1000.0;" Ed Markey (D) ";" D "
"N00000270";"L1400";5000.0;" Ed Markey (D) ";" D "
"N00000270";"L1500";13000.0;" Ed Markey (D) ";" D "
"N00000270";"LG400";2700.0;" Ed Markey (D) ";" D "
"N00000270";"LM100";5000.0;" Ed Markey (D) ";" D "
"N00000270";"LM150";2500.0;" Ed Markey (D) ";" D "
"N00000270";"LT000";3500.0;" Ed Markey (D) ";" D "
"N00000270";"LT100";14500.0;" Ed Markey (D) ";" D "
"N00000270";"LT400";2000.0;" Ed Markey (D) ";" D "
"N00000270";"LT600";2500.0;" Ed Markey (D) ";" D "
"N00000270";"M1000";1000.0;" Ed Markey (D) ";" D "
"N00000270";"M9000";6000.0;" Ed Markey (D) ";" D "
"N00000270";"T1200";2500.0;" Ed Markey (D) ";" D "
"N00000270";"T1700";9500.0;" Ed Markey (D) ";" D "
"N00000270";"T5100";2000.0;" Ed Markey (D) ";" D "
"N00000270";"T9100";6000.0;" Ed Markey (D) ";" D "
"N00000362";"C4100";3500.0;" Jack Reed (D) ";" D "
"N00000362";"C5000";4000.0;" Jack Reed (D) ";" D "
"N00000362";"D2000";17000.0;" Jack Reed (D) ";" D "
"N00000362";"D3000";18000.0;" Jack Reed (D) ";" D "
"N00000362";"D5000";5000.0;" Jack Reed (D) ";" D "
"N00000362";"D8000";3500.0;" Jack Reed (D) ";" D "
"N00000362";"D9000";3500.0;" Jack Reed (D) ";" D "
"N00000362";"E1170";1500.0;" Jack Reed (D) ";" D "
"N00000362";"E1300";2000.0;" Jack Reed (D) ";" D "
"N00000362";"E1500";1500.0;" Jack Reed (D) ";" D "
"N00000362";"F1100";2000.0;" Jack Reed (D) ";" D "
"N00000362";"F2100";3000.0;" Jack Reed (D) ";" D "
"N00000362";"F2300";1000.0;" Jack Reed (D) ";" D "
"N00000362";"F3100";2500.0;" Jack Reed (D) ";" D "
"N00000362";"F3200";2000.0;" Jack Reed (D) ";" D "
"N00000362";"F3300";-500.0;" Jack Reed (D) ";" D "
"N00000362";"F3400";1000.0;" Jack Reed (D) ";" D "
"N00000362";"H1700";2000.0;" Jack Reed (D) ";" D "
"N00000362";"H1710";1000.0;" Jack Reed (D) ";" D "
"N00000362";"J2100";500.0;" Jack Reed (D) ";" D "
"N00000362";"K1000";2000.0;" Jack Reed (D) ";" D "
"N00000362";"K1200";1000.0;" Jack Reed (D) ";" D "
"N00000362";"L1100";2500.0;" Jack Reed (D) ";" D "
"N00000362";"L1500";2000.0;" Jack Reed (D) ";" D "
"N00000362";"LB100";24000.0;" Jack Reed (D) ";" D "
"N00000362";"LT000";5000.0;" Jack Reed (D) ";" D "
"N00000362";"LT100";4750.0;" Jack Reed (D) ";" D "
"N00000362";"LT600";2500.0;" Jack Reed (D) ";" D "
"N00000362";"T1100";1000.0;" Jack Reed (D) ";" D "
"N00000362";"T1200";1000.0;" Jack Reed (D) ";" D "
"N00000362";"T1400";5000.0;" Jack Reed (D) ";" D "
"N00000362";"T1600";9000.0;" Jack Reed (D) ";" D "
"N00000362";"T1700";2000.0;" Jack Reed (D) ";" D "
"N00000362";"T3100";1000.0;" Jack Reed (D) ";" D "
"N00000362";"Z1100";1000.0;" Jack Reed (D) ";" D "
"N00000362";"z9600";6000.0;" Jack Reed (D) ";" D "
"N00000699";"A1300";2000.0;" Robert Menendez (D) ";" D "
"N00000699";"A1400";5000.0;" Robert Menendez (D) ";" D "
"N00000699";"B2000";4000.0;" Robert Menendez (D) ";" D "
"N00000699";"B3000";1000.0;" Robert Menendez (D) ";" D "
"N00000699";"B4000";9900.0;" Robert Menendez (D) ";" D "
"N00000699";"B5100";1000.0;" Robert Menendez (D) ";" D "
"N00000699";"C2100";6500.0;" Robert Menendez (D) ";" D "
"N00000699";"C4000";2000.0;" Robert Menendez (D) ";" D "
"N00000699";"C4100";12500.0;" Robert Menendez (D) ";" D "
"N00000699";"C4200";5000.0;" Robert Menendez (D) ";" D "
"N00000699";"C4300";1000.0;" Robert Menendez (D) ";" D "
"N00000699";"C4500";14500.0;" Robert Menendez (D) ";" D "
"N00000699";"C5000";1000.0;" Robert Menendez (D) ";" D "
"N00000699";"C5110";2500.0;" Robert Menendez (D) ";" D "
"N00000699";"C5120";3500.0;" Robert Menendez (D) ";" D "
"N00000699";"C5130";2500.0;" Robert Menendez (D) ";" D "
"N00000699";"C5200";3500.0;" Robert Menendez (D) ";" D "
"N00000699";"C6200";1000.0;" Robert Menendez (D) ";" D "
"N00000699";"D2000";13000.0;" Robert Menendez (D) ";" D "
"N00000699";"D3000";9000.0;" Robert Menendez (D) ";" D "
"N00000699";"E1100";2700.0;" Robert Menendez (D) ";" D "
"N00000699";"E1120";2500.0;" Robert Menendez (D) ";" D "
"N00000699";"E1140";1500.0;" Robert Menendez (D) ";" D "
"N00000699";"E1320";6000.0;" Robert Menendez (D) ";" D "
"N00000699";"E1600";3500.0;" Robert Menendez (D) ";" D "
"N00000699";"E1620";2643.0;" Robert Menendez (D) ";" D "
"N00000699";"E1630";7500.0;" Robert Menendez (D) ";" D "
"N00000699";"E4100";7000.0;" Robert Menendez (D) ";" D "
"N00000699";"E4200";1500.0;" Robert Menendez (D) ";" D "
"N00000699";"F0000";2500.0;" Robert Menendez (D) ";" D "
"N00000699";"F1100";11000.0;" Robert Menendez (D) ";" D "
"N00000699";"F1300";7000.0;" Robert Menendez (D) ";" D "
"N00000699";"F1400";18000.0;" Robert Menendez (D) ";" D "
"N00000699";"F1410";2500.0;" Robert Menendez (D) ";" D "
"N00000699";"F1420";2500.0;" Robert Menendez (D) ";" D "
"N00000699";"F2000";2500.0;" Robert Menendez (D) ";" D "
"N00000699";"F2100";8000.0;" Robert Menendez (D) ";" D "
"N00000699";"F2200";4500.0;" Robert Menendez (D) ";" D "
"N00000699";"F2300";14000.0;" Robert Menendez (D) ";" D "
"N00000699";"F2500";6000.0;" Robert Menendez (D) ";" D "
"N00000699";"F3100";4500.0;" Robert Menendez (D) ";" D "
"N00000699";"F3200";10000.0;" Robert Menendez (D) ";" D "
"N00000699";"F3300";31000.0;" Robert Menendez (D) ";" D "
"N00000699";"F4100";20000.0;" Robert Menendez (D) ";" D "
"N00000699";"F4200";4000.0;" Robert Menendez (D) ";" D "
"N00000699";"F4600";10000.0;" Robert Menendez (D) ";" D "
"N00000699";"F4700";5000.0;" Robert Menendez (D) ";" D "
"N00000699";"F5100";3000.0;" Robert Menendez (D) ";" D "
"N00000699";"F5300";3500.0;" Robert Menendez (D) ";" D "
"N00000699";"G2100";1000.0;" Robert Menendez (D) ";" D "
"N00000699";"G2500";3000.0;" Robert Menendez (D) ";" D "
"N00000699";"G2820";4500.0;" Robert Menendez (D) ";" D "
"N00000699";"G2850";5000.0;" Robert Menendez (D) ";" D "
"N00000699";"G4100";1000.0;" Robert Menendez (D) ";" D "
"N00000699";"G4900";2000.0;" Robert Menendez (D) ";" D "
"N00000699";"G6400";3500.0;" Robert Menendez (D) ";" D "
"N00000699";"G6500";11000.0;" Robert Menendez (D) ";" D "
"N00000699";"H1120";10000.0;" Robert Menendez (D) ";" D "
"N00000699";"H1400";5000.0;" Robert Menendez (D) ";" D "
"N00000699";"H2100";31000.0;" Robert Menendez (D) ";" D "
"N00000699";"H2200";8500.0;" Robert Menendez (D) ";" D "
"N00000699";"H3100";0.0;" Robert Menendez (D) ";" D "
"N00000699";"H3200";1000.0;" Robert Menendez (D) ";" D "
"N00000699";"H3700";5000.0;" Robert Menendez (D) ";" D "
"N00000699";"H4000";7500.0;" Robert Menendez (D) ";" D "
"N00000699";"H4100";2000.0;" Robert Menendez (D) ";" D "
