,Name,ideology,Amt
0, Orrin G Hatch (R) ,Finance,262550
1, Todd Young (R) ,Finance,43500
2, Elizabeth Warren (D) ,Finance,0
3, Bob Corker (R) ,Finance,130200
4, Gary Peters (D) ,Finance,172700
5, Ron Johnson (R) ,Finance,55000
6, Lindsey Graham (R) ,Finance,53500
7, James M Inhofe (R) ,Finance,16500
8, Patty Murray (D) ,Finance,58500
9, Marco Rubio (R) ,Finance,40500
10, Ben Sasse (R) ,Finance,127422
11, Tom Cotton (R) ,Finance,103200
12, Ed Markey (D) ,Finance,20000
13, Mike Rounds (R) ,Finance,117000
14, Brian Schatz (D) ,Finance,39500
15, Steven Daines (R) ,Finance,39000
16, Tammy Duckworth (D) ,Finance,21000
17, Dan Sullivan (R) ,Finance,10500
18, Catherine Cortez Masto (D) ,Finance,23500
19, Jeanne Shaheen (D) ,Finance,14500
20, Joni Ernst (R) ,Finance,42500
21, Jerry Moran (R) ,Finance,30500
22, James Lankford (R) ,Finance,50200
23, Lamar Alexander (R) ,Finance,29500
24, Dick Durbin (D) ,Finance,26500
25, John Hoeven (R) ,Finance,11000
26, Cory Booker (D) ,Finance,40500
27, Chris Coons (D) ,Finance,42500
28, John Boozman (R) ,Finance,23500
29, Jack Reed (D) ,Finance,11000
30, Chuck Grassley (R) ,Finance,30250
31, Rand Paul (R) ,Finance,7500
32, Mike Lee (R) ,Finance,4500
33, Maggie Hassan (D) ,Finance,5000
34, Bernie Sanders (I) ,Finance,0
35, Michael F Bennet (D) ,Finance,8500
36, Maria Cantwell (D) ,Finance,347
37, Mike Enzi (R) ,Finance,5500
38, Patrick Leahy (D) ,Finance,8000
39, James E Risch (R) ,Finance,22500
40, Tom Udall (D) ,Finance,3500
41, Richard Blumenthal (D) ,Finance,4500
42, Charles E Schumer (D) ,Finance,16000
43, Richard Burr (R) ,Finance,13000
44, Jeff Merkley (D) ,Finance,12000
45, Kamala D Harris (D) ,Finance,3475
46, Richard C Shelby (R) ,Finance,-6500
47, Chris Van Hollen (D) ,Finance,6010
48, Ted Cruz (R) ,Finance,60500
49, Tina Smith (D) ,Finance,95500
50, Jeff Flake (R) ,Finance,145200
51, Kirsten Gillibrand (D) ,Finance,130200
52, John Cornyn (R) ,Finance,143200
53, Mitch McConnell (R) ,Finance,207000
54, Thom Tillis (R) ,Finance,254650
55, Pat Toomey (R) ,Finance,252000
56, Bill Cassidy (R) ,Finance,80500
57, Mark Warner (D) ,Finance,229000
58, Tim Scott (R) ,Finance,219200
59, Rob Portman (R) ,Finance,140000
60, John Thune (R) ,Finance,82000
61, Cory Gardner (R) ,Finance,63000
62, David Perdue (R) ,Finance,128250
63, Susan Collins (R) ,Finance,74500
64, Lisa Murkowski (R) ,Finance,17000
65, John Kennedy (R) ,Finance,87200
66, Pat Roberts (R) ,Finance,65000
67, Shelley Moore Capito (R) ,Finance,72500
68, Johnny Isakson (R) ,Finance,45000
69, Ron Wyden (D) ,Finance,52000
70, Sherrod Brown (D) ,Finance,426500
71, Dianne Feinstein (D) ,Finance,132900
72, Christopher S Murphy (D) ,Finance,279500
73, Robert Menendez (D) ,Finance,169500
74, Angus King (I) ,Finance,176000
75, Mazie K Hirono (D) ,Finance,63800
76, Sheldon Whitehouse (D) ,Finance,55000
77, Mike Crapo (R) ,Finance,503700
78, Cindy Hyde-Smith (R) ,Finance,106089
79, Claire McCaskill (D) ,Finance,369600
80, Doug Jones (D) ,Finance,126000
81, Joe Donnelly (D) ,Finance,500890
82, Tammy Baldwin (D) ,Finance,93900
83, Tim Kaine (D) ,Finance,238300
84, Martin Heinrich (D) ,Finance,182990
85, Tom Carper (D) ,Finance,374350
86, Ben Cardin (D) ,Finance,239000
87, Bob Casey (D) ,Finance,276584
88, Roger Wicker (R) ,Finance,186161
89, Deb Fischer (R) ,Finance,220630
